iter	Passed	Remaining
0	133	133827
1	135	67693
2	137	45540
3	138	34549
4	140	27908
5	141	23460
6	143	20378
7	145	17985
8	146	16131
9	148	14663
10	149	13439
11	150	12417
12	152	11561
13	153	10817
14	154	10172
15	156	9609
16	157	9110
17	158	8666
18	160	8272
19	161	7931
20	163	7610
21	164	7321
22	166	7052
23	167	6803
24	168	6574
25	169	6362
26	171	6165
27	172	5983
28	173	5813
29	175	5659
30	176	5520
31	178	5390
32	179	5261
33	180	5138
34	182	5021
35	183	4911
36	184	4807
37	186	4710
38	187	4616
39	188	4526
40	190	4447
41	191	4374
42	193	4300
43	194	4228
44	196	4160
45	197	4093
46	198	4027
47	199	3965
48	201	3906
49	202	3850
50	204	3808
51	206	3757
52	207	3705
53	208	3655
54	209	3607
55	211	3561
56	212	3516
57	213	3474
58	215	3433
59	216	3392
60	217	3354
61	219	3321
62	220	3284
63	222	3252
64	223	3220
65	225	3186
66	226	3154
67	227	3122
68	229	3091
69	230	3060
70	231	3030
71	233	3008
72	234	2982
73	236	2955
74	237	2929
75	238	2903
76	240	2877
77	241	2851
78	242	2827
79	243	2803
80	245	2780
81	246	2757
82	247	2730
83	248	2711
84	250	2692
85	251	2672
86	252	2652
87	254	2632
88	255	2613
89	256	2594
90	257	2575
91	259	2557
92	260	2539
93	261	2523
94	263	2507
95	264	2492
96	265	2476
97	267	2459
98	268	2443
99	269	2427
100	271	2412
101	272	2397
102	273	2382
103	274	2367
104	276	2357
105	278	2345
106	279	2333
107	280	2320
108	282	2307
109	283	2295
110	285	2283
111	286	2270
112	287	2258
113	288	2245
114	290	2234
115	291	2224
116	293	2212
117	294	2202
118	296	2191
119	297	2180
120	298	2169
121	299	2156
122	300	2145
123	302	2134
124	303	2124
125	304	2114
126	305	2103
127	307	2092
128	308	2084
129	310	2075
130	311	2065
131	312	2055
132	313	2046
133	315	2037
134	316	2028
135	317	2019
136	319	2011
137	320	2002
138	321	1993
139	323	1986
140	324	1979
141	325	1968
142	327	1960
143	328	1952
144	329	1943
145	330	1935
146	332	1928
147	333	1920
148	334	1912
149	336	1904
150	337	1897
151	339	1891
152	340	1884
153	341	1876
154	342	1869
155	344	1862
156	345	1855
157	346	1849
158	348	1842
159	349	1836
160	350	1826
161	351	1820
162	353	1813
163	354	1808
164	356	1803
165	357	1797
166	358	1790
167	360	1783
168	361	1779
169	363	1773
170	364	1767
171	365	1761
172	367	1756
173	368	1751
174	370	1747
175	372	1742
176	373	1736
177	374	1731
178	376	1726
179	378	1722
180	379	1717
181	380	1712
182	382	1706
183	383	1701
184	385	1696
185	386	1691
186	387	1686
187	389	1681
188	390	1677
189	392	1672
190	393	1667
191	394	1661
192	396	1657
193	397	1652
194	399	1649
195	400	1644
196	402	1640
197	403	1635
198	405	1631
199	406	1626
200	407	1621
201	409	1616
202	410	1611
203	411	1606
204	413	1602
205	414	1598
206	416	1593
207	417	1589
208	418	1584
209	419	1579
210	421	1575
211	422	1570
212	423	1565
213	425	1561
214	426	1556
215	427	1552
216	429	1548
217	430	1543
218	431	1539
219	433	1535
220	434	1531
221	435	1526
222	436	1522
223	438	1517
224	439	1513
225	440	1509
226	441	1504
227	443	1500
228	444	1497
229	446	1493
230	447	1490
231	449	1486
232	450	1482
233	451	1478
234	452	1474
235	454	1470
236	455	1466
237	456	1462
238	458	1458
239	459	1455
240	461	1452
241	462	1449
242	464	1445
243	465	1441
244	466	1438
245	467	1434
246	469	1430
247	470	1426
248	471	1422
249	472	1418
250	474	1415
251	476	1413
252	477	1409
253	478	1406
254	480	1403
255	481	1399
256	482	1395
257	484	1392
258	485	1388
259	486	1385
260	488	1381
261	489	1379
262	491	1377
263	493	1375
264	494	1372
265	496	1369
266	497	1367
267	499	1364
268	500	1361
269	502	1358
270	504	1356
271	506	1354
272	507	1352
273	509	1349
274	510	1346
275	512	1343
276	513	1341
